Reference,Date,Debit,Credit,Description,Balance
REF-20240318-926427,18/03/2024,,72.27,MERCHANT CREDIT CUST3398,250072.27
REF-20240320-654661,20/03/2024,,21.37,PAYMENT SETTLEMENT TXN20240319012893,250093.64
REF-20240328-989022,28/03/2024,,52.41,PAYMENT SETTLEMENT TXN20240327002876,250146.05
REF-20240312-307205,12/03/2024,,75.71,PAYMENT SETTLEMENT TXN20240309015785,250221.76
REF-20240403-845514,03/04/2024,,292.70,PAYMENT SETTLEMENT TXN20240330045067,250514.46
REF-20240326-862868,26/03/2024,,23.67,PAYMENT SETTLEMENT TXN20240324038020,250538.13
REF-20240319-467810,19/03/2024,,126.83,PAYMENT SETTLEMENT TXN20240318037053,250664.96
REF-20240328-847836,28/03/2024,,21.00,PAYMENT SETTLEMENT TXN20240327036998,250685.96
REF-20240403-384046,03/04/2024,,91.09,SETTLEMENT BATCH 0403,250777.05
REF-20240306-255804,06/03/2024,,426.58,CARD SETTLEMENT NET TXN20240305036138,251203.63
REF-20240322-186046,22/03/2024,,119.26,PAYMENT SETTLEMENT TXN20240321047694,251322.89
REF-20240403-504672,03/04/2024,,12.62,PAYMENT SETTLEMENT TXN20240330031511,251335.51
REF-20240403-292564,03/04/2024,,84.05,PAYMENT SETTLEMENT TXN20240331034048,251419.56
REF-20240321-699373,21/03/2024,,70.03,PAYMENT SETTLEMENT TXN20240320041662,251489.59
REF-20240306-398128,06/03/2024,,45.70,SETTLEMENT BATCH 0306,251535.29
REF-20240327-455456,27/03/2024,,28.38,PAYMENT SETTLEMENT TXN20240326046293,251563.67
REF-20240325-258047,25/03/2024,,24.67,CARD SETTLEMENT NET TXN20240322026019,251588.34
REF-20240326-966777,26/03/2024,,30.93,CARD SETTLEMENT NET TXN20240323047355,251619.27
REF-20240305-188995,05/03/2024,,40.51,PAYMENT SETTLEMENT TXN20240303032440,251659.78
REF-20240325-268424,25/03/2024,,35.43,MERCHANT CREDIT CUST4831,251695.21
REF-20240312-958690,12/03/2024,,20.42,PAYMENT SETTLEMENT TXN20240311022555,251715.63
REF-20240403-792018,03/04/2024,,105.16,PAYMENT SETTLEMENT TXN20240329036091,251820.79
REF-20240326-371683,26/03/2024,,34.28,PAYMENT SETTLEMENT TXN20240324005785,251855.07
REF-20240328-569702,28/03/2024,,36.04,SETTLEMENT BATCH 0328,251891.11
REF-20240322-859659,22/03/2024,,69.92,PAYMENT SETTLEMENT TXN20240321040777,251961.03
REF-20240311-177183,11/03/2024,,21.29,CARD SETTLEMENT NET TXN20240308017767,251982.32
REF-20240326-852597,26/03/2024,,214.21,CARD SETTLEMENT NET TXN20240323018757,252196.53
REF-20240319-141644,19/03/2024,,21.93,PAYMENT SETTLEMENT TXN20240318015837,252218.46
REF-20240326-114166,26/03/2024,,193.25,PAYMENT SETTLEMENT TXN20240323005645,252411.71
REF-20240403-257864,03/04/2024,,155.37,PAYMENT SETTLEMENT TXN20240329003909,252567.08
REF-20240306-679244,06/03/2024,,14.21,MERCHANT CREDIT CUST7606,252581.29
REF-20240304-884854,04/03/2024,,33.55,PAYMENT SETTLEMENT TXN20240301035655,252614.84
REF-20240326-815605,26/03/2024,,66.17,PAYMENT SETTLEMENT TXN20240324014320,252681.01
REF-20240322-752694,22/03/2024,,174.13,PAYMENT SETTLEMENT TXN20240321019244,252855.14
REF-20240312-417376,12/03/2024,,14.82,PAYMENT SETTLEMENT TXN20240311030089,252869.96
REF-20240305-617342,05/03/2024,,54.90,PAYMENT SETTLEMENT TXN20240302010677,252924.86
REF-20240322-760433,22/03/2024,,795.84,PAYMENT SETTLEMENT TXN20240321036748,253720.70
