transaction_id,timestamp,amount,currency,status,channel,expected_settlement,customer_ref
TXN20240304015535,2024-03-04 19:16:22,18.89,USD,pending_settlement,BEPS,2024-03-05,CUST-9209
TXN20240329045516,2024-03-29 15:34:40,54.22,USD,settled,BEPS,2024-04-03,CUST-6618
TXN20240331022289,2024-03-31 12:05:16,116.91,USD,settled,BEPS,2024-04-03,CUST-8108
TXN20240316037733,2024-03-16 08:45:08,310.17,USD,settled,BEPS,2024-03-19,CUST-3886
TXN20240308029147,2024-03-08 18:02:52,61.61,USD,settled,BEPS,2024-03-11,CUST-7873
TXN20240312044589,2024-03-12 18:48:44,135.62,USD,settled,BEPS,2024-03-13,CUST-7062
TXN20240316045688,2024-03-16 19:14:34,62.56,USD,settled,BEPS,2024-03-19,CUST-3234
TXN20240324024073,2024-03-24 15:07:24,52.75,USD,settled,BEPS,2024-03-26,CUST-9257
TXN20240318030437,2024-03-18 15:51:40,55.11,USD,settled,BEPS,2024-03-19,CUST-8058
TXN20240330006149,2024-03-30 11:58:58,10.61,USD,settled,BEPS,2024-04-03,CUST-7335
TXN20240321034056,2024-03-21 18:43:04,76.45,USD,settled,BEPS,2024-03-22,CUST-4617
TXN20240323017456,2024-03-23 19:41:41,82.00,USD,settled,BEPS,2024-03-26,CUST-1698
TXN20240303003031,2024-03-03 12:09:06,140.75,USD,settled,BEPS,2024-03-05,CUST-3765
TXN20240309046485,2024-03-09 08:51:03,215.18,USD,settled,BEPS,2024-03-12,CUST-4084
TXN20240327000732,2024-03-27 15:06:00,111.71,USD,settled,BEPS,2024-03-28,CUST-5397
TXN20240308014667,2024-03-08 10:39:38,311.36,USD,settled,BEPS,2024-03-11,CUST-9515
TXN20240323005761,2024-03-23 14:08:16,227.36,USD,settled,BEPS,2024-03-26,CUST-1362
TXN20240325012253,2024-03-25 15:45:17,52.10,USD,settled,BEPS,2024-03-26,CUST-9076
TXN20240303026448,2024-03-03 08:47:51,67.22,USD,settled,BEPS,2024-03-05,CUST-1495
